Top pages,Clicks,Impressions,CTR,Position
https://thinkbynumbers.org/empiricism-2/felicific-calculus/,99,12507,0.79%,8.15
https://thinkbynumbers.org/democracy/voter-support-for-a-bill-has-near-zero-influence-on-whether-it-will-become-law/,20,476,4.2%,8.48
https://thinkbynumbers.org/government-spending/corporate-vs-social-welfare/,10,2322,0.43%,12.52
https://thinkbynumbers.org/psychology/subconscious-processes-27500-times-more-data-than-the-conscious-mind/,10,1653,0.6%,8.29
https://thinkbynumbers.org/utilitarianism/direct-suffering-caused-animal-foods/,7,178,3.93%,6.03
https://thinkbynumbers.org/,7,141,4.96%,2.74
https://thinkbynumbers.org/statistics/what-was-the-population-when-the-united-states-was-established/,4,3428,0.12%,9.73
https://thinkbynumbers.org/government-spending/usps-uses-18-billion-in-taxpayer-subsidies-to-subsidize-junk-mail-killing-100-million-trees-and-irritating-millions/,3,234,1.28%,13.21
https://thinkbynumbers.org/author/admin/,2,75,2.67%,6.35
https://thinkbynumbers.org/statistics/how-much-time-do-people-spend-consuming-news/,2,75,2.67%,13.03
https://thinkbynumbers.org/government-spending/false-sense-of-insecurity/,2,39,5.13%,17.44
https://thinkbynumbers.org/politics/it-takes-3-5-of-the-population-to-change-the-world/,1,332,0.3%,16.03
https://thinkbynumbers.org/healthcare/free-advanced-interpretation-of-your-23andme-raw-data/,1,67,1.49%,57.55
https://thinkbynumbers.org/health/how-many-net-lives-does-the-fda-save/,1,66,1.52%,8.21
https://thinkbynumbers.org/home/,1,47,2.13%,3.64
https://thinkbynumbers.org/economics/how-much-does-it-cost-to-develop-a-drug/,1,34,2.94%,29.88
https://thinkbynumbers.org/tools/the-encyclopedia-of-world-problems-and-human-potential/,1,9,11.11%,19.78
https://thinkbynumbers.org/economics/how-the-federal-reserve-steals-from-the-poor-and-gives-to-the-rich/,1,4,25%,17
https://thinkbynumbers.org/tag/organization-for-economic-cooperation-and-development/,1,2,50%,1.5
https://thinkbynumbers.org/military/war/the-economic-case-for-peace-a-comprehensive-financial-analysis/,0,374,0%,15.61
https://thinkbynumbers.org/solutions/wisdom-of-crowds/,0,314,0%,16.4
https://thinkbynumbers.org/tag/armey-curve/,0,171,0%,3.16
https://thinkbynumbers.org/terrorism/how-many-americans-are-killed-by-terrorists/,0,129,0%,4.62
https://thinkbynumbers.org/tag/felicific-calculus/,0,111,0%,53.99
https://thinkbynumbers.org/economics/us-stock-market-grew-3-times-faster-under-obama-than-trump/,0,110,0%,71.05
https://thinkbynumbers.org/government-spending/how-much-do-we-spend-on-the-military/,0,95,0%,5.65
https://thinkbynumbers.org/tag/rahn-curve/,0,70,0%,9.64
https://thinkbynumbers.org/government-spending/corporate-welfare/what-would-happen-if-we-let-aig-fail/,0,60,0%,47.88
https://thinkbynumbers.org/tag/wishful-thinking-bias/,0,55,0%,10.56
https://thinkbynumbers.org/democracy/the-majority-of-americans-didnt-support-the-american-revolution/,0,44,0%,24.8
https://thinkbynumbers.org/government-spending/how-much-does-the-us-spend-on-the-military-compared-to-the-rest-of-the-world/,0,43,0%,12.33
https://thinkbynumbers.org/science/how-much-of-our-dna-is-useless-junk/,0,41,0%,18
https://thinkbynumbers.org/taxes/irs-automation-could-save-americans-191-billion/,0,29,0%,7.17
https://thinkbynumbers.org/economics/how-to-identify-the-bottom-of-a-stock-market-correction/,0,27,0%,9.07
https://thinkbynumbers.org/blog/,0,26,0%,3.62
https://thinkbynumbers.org/federal-reserve/financial-sector-costs-us-more-than-all/,0,25,0%,6.04
https://thinkbynumbers.org/democracy/democracys-effect-on-economic-growth/,0,25,0%,6.92
https://thinkbynumbers.org/category/terrorism/,0,23,0%,7.13
https://thinkbynumbers.org/page/2/,0,22,0%,5
