Top queries,Clicks,Impressions,CTR,Position
felicific calculus,26,5647,0.46%,6.44
felicific calculus formula,4,72,5.56%,3.17
corporate welfare vs social welfare,2,380,0.53%,6.35
morality calculator,2,7,28.57%,8.71
utilitarian calculus,1,185,0.54%,13.82
felicity calculus,1,127,0.79%,5.09
bentham felicific calculus,1,124,0.81%,7.94
corporate welfare vs social welfare chart,1,25,4%,1.88
population us 1776,1,24,4.17%,17.38
united states population in 1776,1,22,4.55%,17.95
corporate welfare vs social welfare 2024,1,16,6.25%,9.69
hedonic calculus formula,1,14,7.14%,12.29
codegen dna,1,10,10%,39.4
hedonistic calculus example,1,6,16.67%,54.5
pleasure pain calculus,1,4,25%,6.75
population of us in 1900,1,2,50%,3
what was the population of the united states in 1776,0,834,0%,4.74
utility calculus,0,257,0%,9.35
moral calculus,0,229,0%,10.33
us population in 1776,0,159,0%,8.4
felicific calculus example,0,157,0%,5.76
calculus of felicity,0,155,0%,8.34
armey curve,0,135,0%,2.39
us population 1776,0,133,0%,12.44
felicific,0,131,0%,17.53
ethical calculus,0,108,0%,9.84
bentham's felicific calculus,0,102,0%,11.04
population of us in 1776,0,94,0%,10.81
hedonic calculus,0,91,0%,37.02
corporate welfare,0,81,0%,32.98
corporate welfare vs social welfare pie chart,0,76,0%,2.99
the felicific calculus,0,74,0%,7.35
"the unconscious brain processes how many more times faster than the 
conscious brain?",0,73,0%,5.4
what was the us population in 1776,0,71,0%,5.28
hedonistic calculus,0,69,0%,50.03
"what are some potential benefits and potential costs of total war, and do 
the potential benefits ever outweigh the costs?",0,68,0%,11.22
cost of corporate welfare vs social welfare,0,68,0%,12.54
what is felicific calculus,0,62,0%,6.1
hedonic calculator,0,62,0%,11.29
population of usa in 1776,0,62,0%,15.48
population of united states in 1776,0,60,0%,11.38
population of the united states in 1776,0,59,0%,8.51
us population since 1776,0,57,0%,9.21
population of the us in 1776,0,57,0%,13.58
jeremy bentham felicific calculus,0,55,0%,9.6
felific calculus,0,53,0%,7.4
felicific calculus meaning,0,52,0%,6.56
wishful thinking bias,0,44,0%,11.11
1776 us population,0,43,0%,14.05
what was the population in 1776,0,42,0%,7.88
felicitous calculus,0,41,0%,6.9
corporate welfare cost per year,0,40,0%,13.15
philosophic calculus,0,39,0%,7.77
rahn curve,0,36,0%,10.31
how many people have lived in the us since 1776,0,36,0%,14.89
population of america in 1776,0,36,0%,16.03
united states population 1776,0,36,0%,17
what was the population of the world in 1776,0,33,0%,4.97
corporate welfare vs social welfare spending,0,32,0%,9.38
bentham’s felicific calculus,0,31,0%,12.03
corporate welfare cost,0,31,0%,12.61
cálculo felicífico,0,30,0%,7.17
how many people lived in the united states in 1776,0,30,0%,8.23
social welfare vs corporate welfare,0,30,0%,9.57
u.s. population in 1776,0,30,0%,9.73
population in 1776,0,28,0%,3.68
population of us 1776,0,28,0%,16.25
usa population 1776,0,25,0%,7.96
what was the population of the us in 1776,0,25,0%,11.52
corporate subsidies vs welfare,0,25,0%,12.24
moral calculus meaning,0,24,0%,11.79
felicific calculus and hedonic calculus,0,22,0%,8.77
jeremy bentham calculus,0,20,0%,7.85
corporate welfare vs social welfare cost,0,20,0%,11.25
population of usa 1776,0,20,0%,14.25
welfare vs corporate welfare,0,19,0%,10.47
corporate vs social welfare,0,19,0%,14.11
cost of corporate welfare,0,19,0%,14.89
population usa 1776,0,19,0%,25.11
stocks under obama vs trump,0,18,0%,57.22
stock market gains obama vs trump,0,18,0%,63
population of united states 1776,0,17,0%,16.18
population of america 1776,0,17,0%,32.94
felcific calculus,0,16,0%,8.88
stock market growth trump vs obama,0,16,0%,75.69
utilitarian calculus meaning,0,15,0%,9
usa population in 1776,0,15,0%,9.33
corporate welfare versus social welfare,0,15,0%,12.2
bentham hedonic calculus,0,14,0%,17.93
american population 1776,0,14,0%,49
what is the population of the united states of america,0,13,0%,2.62
bentham's utility calculus,0,13,0%,8.62
utilitarianism calculus,0,13,0%,9.38
1776 population,0,13,0%,16.62
genetic genie,0,13,0%,82.08
what was america's population in 1776,0,12,0%,3.92
us population 1776 to present,0,12,0%,7.42
american taxpayers give an $18 billion gift to the post office every year,0,12,0%,8
what are some potential benefits and potential costs of total war,0,12,0%,9.42
"the unconscious brain processes how many more times faster than the 
conscious brain? tick one answer 100,000 times 300,000 times 400,000 times 
200,000 times",0,12,0%,10.08
the hedonic calculus,0,12,0%,31.08
american population in 1776,0,12,0%,43.67
robert pape,0,12,0%,80.92
stock market growth obama vs trump,0,11,0%,82.27
aig bankruptcy,0,11,0%,86.73
us population from 1776 to present,0,10,0%,11.2
hedonic calculus utilitarianism,0,10,0%,12.7
bentham's hedonistic calculus,0,10,0%,37.1
what is utilitarian calculus,0,9,0%,11.22
what was the population in america in 1776,0,9,0%,13.11
population 1776,0,9,0%,19.44
population of the us 1776,0,9,0%,24.67
stock market better under obama or trump,0,9,0%,72.22
bentham's calculus,0,8,0%,8.5
how many people lived in us in 1776,0,8,0%,11.75
population of the united states 1776,0,8,0%,20.5
population united states 1776,0,8,0%,37.62
what is corporate welfare,0,8,0%,81.62
how many people lived in the us in 1776,0,7,0%,2.71
us population in 1800,0,7,0%,3
hedonic calculus bentham,0,7,0%,12
what is the hedonic calculus,0,7,0%,14.71
rahn curve economics,0,7,0%,16.71
what is 3.5 percent of the world population,0,7,0%,17.86
cost of corporate subsidies,0,7,0%,24
what was the population of america in 1776,0,7,0%,52.29
trump vs obama stock market,0,7,0%,68.86
surge in stock market from obama or trump,0,7,0%,83.14
stock market under obama vs trump,0,7,0%,85.71
zombie companies,0,7,0%,92.57
9/11 total deaths,0,6,0%,1
what's the population of the united states,0,6,0%,2
us population 1950,0,6,0%,3
us population in 1950,0,6,0%,3
happiness calculus,0,6,0%,8.17
felicific calculus bentham,0,6,0%,11.83
what was population of usa in 1776,0,6,0%,15.67
hedonistic calculus definition,0,6,0%,29.83
u.s. population by year since 1776,0,6,0%,32.83
world population 1776,0,6,0%,34.33
3.5 of us population,0,6,0%,58
payments to cover war costs,0,6,0%,60.67
did the stock market do better under trump or obama,0,6,0%,64.83
junk dna percentage,0,6,0%,69.83
